;LC1961;LC1965;LC1970;LC1975;LC1980
81;62340.60091;65355.63672;69120.97669;72854.29168;75718.12789
82;60367.77952;63444.90238;67290.65376;71106.96708;74073.30585
83;58239.83817;61375.34222;65298.4;69196.18725;72266.67757
84;55918.47013;59104.30572;63096.66188;67070.11401;70243.34589
85;53362.5746;56584.43989;60630.74871;64667.3366;67936.58391
86;50561.62778;53801.81634;57882.46192;61965.45834;65320.2318
87;47506.76477;50742.82285;54832.16398;58938.83355;62363.10269
88;44261.62674;47473.10603;51547.48332;55656.50875;59134.38568
89;40825.76163;43986.03925;48013.82188;52095.78498;55603.63325
90;37096.17184;40159.99682;44085.68699;48087.04494;51579.30248
91;33215.81869;36144.69701;39919.87554;43792.59273;47225.85973
92;29161.49393;31906.63116;35468.44895;39148.53488;42463.04421
93;25074.59161;27593.24009;30884.68946;34311.97154;37448.00613
94;21098.43387;23362.7105;26344.87451;29476.44846;32388.25261
95;17164.54345;19124.01767;21725.57947;24481.56256;27084.18828
96;12430.74376;14251.4703;16712.00531;19364.57514;21956.87113
97;8716.787013;10317.79316;12534.02156;14979.82051;17453.8196
98;5912.122982;7250.816005;9159.491495;11326.99762;13598.9328
99;3873.996681;4941.550696;6517.341605;8367.622364;10380.9094
100;2449.453554;3262.828141;4512.014165;6035.689598;7760.624615
101;1492.447897;2085.116932;3036.938818;4248.503456;5679.305324
102;875.0458598;1288.226509;1985.695189;2916.508896;4066.57841
103;492.9425584;768.539907;1260.155769;1951.323201;2847.656558
104;266.3619779;442.1835273;775.4825129;1271.567007;1949.171794
105;137.8072953;245.0241026;462.3082005;806.4603925;1303.424606
106;68.13000311;130.5711039;266.7170926;497.4310672;851.0463649
107;32.11672793;66.8078312;148.7465673;298.1551981;542.2485857
108;14.40181961;32.76432341;80.09459435;173.518023;336.9420471
109;6.127091164;15.37282904;41.58773987;97.96035082;204.0532623
110;2.465886012;6.886442035;20.79395744;53.59768356;120.3562411
111;0.93573908;2.938649258;9.997140354;28.39169386;69.09070645
112;0.333582864;1.191614792;4.61408743;14.54508881;38.57167295
