"","lxL1961","lxL1965","lxL1970","lxL1975","lxL1980"
"31",94160.6470577728,95385.7727396699,96353.8869430399,97469.1552200225,98246.7701639078
"32",94098.1243881264,95326.8243321168,96308.9860317245,97440.3043500774,98224.7628873911
"33",94044.206162852,95255.710521165,96273.3517068927,97411.2671393811,98196.965279494
"34",93980.8203678983,95201.605277589,96232.531805769,97381.5567029035,98166.7206141879
"35",93902.06444043,95152.1956444499,96190.8631194971,97350.1024600885,98141.7862671519
"36",93823.8440207511,95105.0953076059,96147.4810402302,97315.932574125,98113.1288655619
"37",93747.6590594062,95053.167925568,96098.8304148239,97279.147151612,98085.7553026084
"38",93686.0668474042,94992.4289512635,96050.204406634,97238.5817472498,98054.2697751563
"39",93626.3888228224,94925.7442661398,95998.4333464588,97193.0740909921,98012.7928190414
"40",93556.0754048165,94850.3732251925,95947.3621799185,97147.0045738729,97971.2353948861
"41",93483.1016660007,94777.717839302,95896.1262885144,97102.2198047644,97928.5199362539
"42",93406.2779198917,94703.2416503989,95836.0588177236,97043.8018432884,97879.9399683949
"43",93324.5341809123,94630.0682010294,95771.1161253403,96984.1918852029,97826.7209106282
"44",93234.5771025171,94550.5589630321,95699.1904907617,96918.1223834708,97769.5470765789
"45",93141.3130224869,94463.1649746655,95623.139627131,96844.3595098126,97705.2688394029
"46",93036.8399788288,94369.9494162198,95539.3615521856,96766.2367201973,97634.2495405753
"47",92930.8452853544,94270.7609053476,95441.4741471552,96678.4802774125,97553.0422753107
"48",92816.3554919085,94164.694498696,95340.9088355009,96584.5830670668,97465.8180591157
"49",92689.1166895231,94042.7517651394,95224.9100520759,96478.0465040927,97366.130244699
"50",92554.9573355439,93915.9531772816,95099.9506008277,96362.550657633,97257.3897137871
"51",92413.2812758456,93778.5722741355,94967.6815082834,96236.7894574419,97138.2870980771
"52",92260.0742571524,93624.6122549502,94824.0891381056,96099.5258384706,97007.5907207291
"53",92089.566312596,93459.7255344436,94665.3228766251,95946.6740181984,96861.0140273887
"54",91915.0170425674,93284.7555136393,94500.8614480984,95789.3137513328,96711.0434058792
"55",91721.798065055,93091.3119542323,94317.5480188928,95612.6450743869,96541.4525062179
"56",91515.450036178,92894.554034539,94128.2143167814,95430.3549623767,96366.6394114091
"57",91301.1900786314,92685.9575378045,93927.7940538363,95237.6852724942,96182.1554461625
"58",91063.0861986678,92456.0784300836,93705.245172964,95022.1164976605,95974.1775132061
"59",90808.5647325288,92211.2149976091,93468.700743387,94793.4861467119,95754.0755370114
"60",90551.3166846262,91962.1938504686,93230.9331283018,94566.3433326786,95537.9471635154
"61",90273.442557587,91692.6930636579,92972.9998007935,94319.352552655,95302.3789076434
"62",89982.5968724563,91411.8054472826,92705.5921906559,94064.6479550895,95060.7445036155
"63",89684.208223577,91125.3752788735,92434.9700814183,93808.8337556799,94819.8980286205
"64",89370.1175293738,90825.7142369171,92154.0116362868,93545.2829471104,94573.6714500057
"65",89046.2357715137,90518.5959369588,91868.2594826173,93279.2866732627,94327.0662088668
"66",88718.98602523,90211.157793486,91585.5237739438,93019.1535690136,94088.7014935898
"67",88377.8479193923,89892.2389741693,91294.0298491157,92752.6163628458,93845.9814081981
"68",88014.104627175,89552.515484666,90983.9057500152,92469.4060485654,93588.4155250381
"69",87618.0381132664,89182.0037245674,90645.0036732238,92159.3121876856,93305.8607564204
"70",87219.9600818789,88813.3160473594,90311.9734450552,91858.4016502323,93035.1126158237
"71",86789.7068943325,88416.2973140088,89955.0220184271,91537.3953545171,92747.6559199383
"72",86339.7930648622,88002.7726534268,89585.0835741304,91206.388060578,92452.7544639233
"73",85851.6123367244,87554.4273348644,89184.4149747716,90848.2848764839,92134.0881911148
"74",85341.0010598725,87087.669579216,88769.7553453943,90479.8939912469,91808.2501080778
"75",84784.1758468519,86578.8469277193,88317.9664509735,90078.7656274888,91453.703153514
"76",84158.6364763304,86005.9084256153,87807.8248653011,89624.6049285991,91051.232818593
"77",83465.8805845985,85370.6266980927,87241.3678371177,89119.6452758553,90603.1988640604
"78",82719.9515216887,84687.9981325588,86634.3411927517,88580.0501269191,90125.8373325239
"79",81886.1128103155,83923.3987921366,85952.8229802709,87972.8964244777,89587.5831965571
"80",80969.7752115303,83083.589602225,85204.8720819931,87307.1984762437,88998.0727132791
"81",79900.5403334496,82096.9748968598,84318.8399993475,86512.1607119483,88288.3789416911
"82",78673.0357475593,80958.322441715,83289.6941255172,85582.9424110187,87453.8672606185
"83",77238.5751810083,79617.5371151796,82066.5353982694,84468.4616694355,86444.0142219673
"84",75603.641700123,78082.2438490044,80658.0749020986,83178.2257695885,85268.8314174721
"85",73732.3284977291,76315.6163770088,79026.989477074,81674.8253495082,83891.3318024251
"86",71583.6731310136,74274.0517197315,77127.3276442491,79910.6562514852,82263.0850456091
"87",69091.7834857958,71887.6080605288,74885.4009467586,77809.2168212425,80305.9705801798
"88",66267.029722268,69163.6045910754,72304.9234842372,75370.9386931044,78017.4789819619
"89",63023.6336550654,66008.0468948719,69283.3274073784,72485.9607818251,75282.2070312947
"90",59355.8156011741,62408.0933922538,65799.3660802199,69125.1576890158,72063.9102490518
"91",55267.6018037487,58359.4290316772,61838.471889694,65264.0817973806,68328.9094579321
"92",50705.8689184847,53796.3921029568,57319.8464231871,60807.2476169628,63968.1575394505
