"","lxR1961","lxR1965","lxR1970","lxR1975","lxR1980"
"55",86215.7076897654,88050.8461721131,90780.8611643344,93528.6872457456,95040.3872105741
"56",85790.1631192812,87671.7499915951,90490.9427412672,93314.489071063,94874.6226087204
"57",85352.3865598892,87279.4118437264,90192.4774062928,93095.1857848385,94705.9002970927
"58",84876.0244926643,86858.3745339507,89871.7471886888,92859.2612534255,94524.2600884368
"59",84368.3168695389,86412.794895058,89532.5396051252,92609.9697240687,94332.5820740348
"60",83842.1042066992,85949.0523868953,89180.721369882,92352.3732633269,94135.3443207637
"61",83284.9676977028,85458.7844074887,88809.3356196421,92080.9389761766,93927.9836841084
"62",82682.8134092577,84926.9614845482,88404.4706700943,91783.663697339,93699.9456920604
"63",82061.9220679138,84380.3591602992,87989.8637414159,91480.4458651979,93468.4003080668
"64",81409.8725086693,83806.9116170206,87555.2690163521,91163.0041094367,93226.4325198015
"65",80724.1160213054,83204.5525887785,87099.2613060147,90830.4208183692,92973.4575456152
"66",80012.2108655426,82581.5699639917,86629.6473275003,90489.5224908431,92715.5423924817
"67",79258.6146031087,81921.6364144382,86131.5173024849,90127.6167102797,92441.6889423738
"68",78470.4123577749,81231.6163366839,85610.6412032666,89749.3537588208,92155.7944679725
"69",77668.4951973094,80534.093613135,85088.0818157572,89372.9467192304,91873.8266642836
"70",76824.7572433894,79799.4035670783,84536.6865639956,88975.2924480336,91575.8256078435
"71",75948.7721547144,79038.3745523102,83966.8876349142,88565.6119916579,91270.0046806634
"72",75031.0514555208,78241.648667753,83370.6081038671,88137.3682832471,90950.9706737667
"73",74078.3742370055,77415.1782698589,82752.3377818184,87693.858059737,90621.2721852094
"74",73082.2115860526,76552.3215469935,82107.7895050931,87232.5462333964,90279.4659579505
"75",72054.823790144,75664.3758948677,81446.0131553482,86760.3984570042,89931.1099438273
"76",70978.0236998327,74733.8133028057,80752.2354556113,86265.7163159012,89566.7628615049
"77",69850.8587915127,73759.6357636446,80025.515280412,85747.7715730783,89185.9126942319
"78",68689.8973232142,72757.8758106203,79279.389208989,85217.4138528804,88797.4763628272
"79",67466.0147460297,71701.3199564785,78491.6252677191,84657.5414584648,88388.0462645227
"80",66193.5891793088,70602.0738070902,77670.9288562299,84074.2338383463,87962.0824457887
"81",64847.587853689,69436.8707707612,76798.3487103698,83453.0382412165,87508.4254217804
"82",63422.0887754906,68199.1464053963,75867.5375908,82788.5974509925,87022.7039316659
"83",61933.9580633009,66905.1182668104,74892.0990313547,82091.8212606712,86513.9289078041
"84",60361.6558099722,65533.1975897618,73852.9871435571,81347.3475409165,85969.7823709395
"85",58680.8992476066,64058.2078206213,72727.1712570013,80536.1189155886,85374.7226532647
"86",56905.132943828,62492.2111926434,71523.8785620913,79665.1303251658,84734.443198652
"87",55028.2874241803,60827.7021014768,70235.0350663147,78727.2441552914,84043.0938220935
"88",53084.3360144553,59096.4162291928,68886.5691317991,77742.7146626429,83316.9828463914
"89",51075.4057469381,57297.9551386858,67475.7859537279,76708.2342315382,82553.0300750598
"90",48939.7584031416,55368.8011426186,65944.3691533059,75575.3251639718,81711.7172971935
"91",46744.4516260387,53371.5881954076,64343.6041226353,74383.6586733841,80824.3732502211
"92",44430.0791236713,51244.3757162542,62615.3432577933,73084.2499352356,79850.9521793288
"93",42015.5036845299,48942.138644183,60400.4382229835,71050.8743160074,78104.9803525121
"94",39382.9149431153,46405.1518203848,57933.4198465486,68766.9619189905,76130.9405706012
"95",36590.7103926806,43681.2805945863,55251.9616717261,66260.5272737913,73948.1707184075
"96",33697.4688269359,40819.6937993567,52395.6659205278,63561.540613501,71577.6391402486
"97",30759.9608900145,37869.4121390398,49405.0997395452,60701.3348526405,69041.6104717151
"98",27831.3832034272,34877.9511151754,46320.8517634397,57712.0057210894,66363.2993898921
"99",24959.8872481981,31890.1089161177,43182.6390493447,54625.8209365767,63566.519766237
"100",22187.4511610119,28946.9392423021,40028.4908849034,51474.6533488694,60675.3365650437
"101",19549.1183609547,26084.9371218921,36894.0314642899,48289.4515659644,57713.7274940831
"102",17072.6033703369,23335.4532403898,33811.8782379084,45099.759753616,54705.2609000658
"103",14778.2440061494,20724.339984646,30811.1671700087,41933.2961749506,51672.7957328642
"104",12679.2616116078,18271.8210255406,27917.2104825357,38815.5977055603,48638.2086060739
"105",10782.2780403843,15992.5664419299,25151.2870045425,35769.7351233833,45622.1520877037
"106",9088.0300987127,13895.9475643204,22530.5602334997,32816.1015321542,42643.8473956021
"107",7592.21904159305,11986.440152275,20068.1148523681,29972.2739261398,39720.9136802469
"108",6286.43406961935,10264.1412958943,17773.0988861548,27252.9457258652,36869.2350846469
"109",5159.09384638185,8725.36446338101,15650.9560186289,24669.9261796623,34102.8658074005
"110",4196.35792700004,7363.278177825,13703.7308616674,22232.200888495,31433.9724876849
"111",3382.96964995369,6168.55656486536,11930.4291604246,19946.0464089746,28872.8124036865
"112",2703.00251104918,5130.01406879107,10327.4149642817,17815.1909417924,26427.745248067
