"","lxR1961","lxR1965","lxR1970","lxR1975","lxR1980"
"63",89609.8439272729,91150.4226911077,92810.2505029885,94472.082663759,95437.4192282011
"64",89260.5908001348,90828.9637285846,92539.6611699623,94243.4798373959,95221.753837505
"65",88893.2793195438,90491.7216618543,92256.6233272386,94005.0939782994,94997.6267415997
"66",88511.7463047673,90143.1772831655,91965.8866430818,93761.7517903141,94770.3494398632
"67",88108.1069232358,89775.5125833004,91660.2712681911,93506.8861179007,94533.2644166
"68",87672.6046867286,89378.4771114806,91329.8272250589,93231.0119993357,94276.4589376455
"69",87195.0468521303,88941.8462633219,90965.0545173297,92925.3786467256,93991.0507760159
"70",86705.0025168203,88497.3905259146,90597.3941499179,92620.4105127642,93709.2487052392
"71",86173.1544538279,88016.7826750679,90201.5721389766,92293.5916155464,93408.7935417105
"72",85618.0385523226,87517.5827314244,89792.8563800873,91958.190417937,93102.4971281803
"73",85019.2764890141,86980.117358341,89353.7366773771,91598.6901060368,92775.1539517599
"74",84397.0291802099,86425.0368062454,88903.6592325657,91233.1140337119,92445.0930483869
"75",83730.2312977011,85831.8984257518,88424.3413663614,90845.220797911,92096.3955215726
"76",82996.6927109324,85179.5086460462,87897.1644908206,90418.7667542182,91713.454043462
"77",82209.0453643507,84480.8708958999,87334.3982300764,89965.1404219413,91307.8706254368
"78",81387.2327412945,83756.4814943768,86755.3381621674,89502.1444921527,90897.5834279988
"79",80502.4402955898,82978.4147637357,86135.0987477202,89007.845634612,90461.3709782304
"80",79565.3346576248,82158.3314871625,85485.2192048534,88493.262191946,90010.6078568643
"81",78524.5060212403,81245.6509586022,84760.0402074193,87917.8873003782,89506.0886654695
"82",77392.5497054391,80253.132233774,83971.3706044983,87292.5282505148,88958.7126951808
"83",76136.9969616639,79149.0758814462,83090.7673635124,86592.1871171468,88344.6616301054
"84",74771.9962803319,77948.4724961176,82132.6796054844,85830.5078355226,87678.0333070728
"85",73295.2498733958,76649.4800369917,81095.7919335127,85006.7643843685,86958.7303405325
"86",71701.2407043718,75246.1127100165,79974.1744238177,84115.5630499888,86181.7474727569
"87",69959.2267994095,73708.2530407557,78740.6589873399,83133.1500505694,85324.8876738183
"88",68093.6022350717,72058.2612422824,77413.957745801,82075.3934509782,84403.3025895865
"89",66080.4631781834,70271.8004070407,75971.2351740592,80921.8793717965,83397.8215618074
"90",63936.3991589829,68363.1343655381,74423.4817081623,79681.4378335472,82316.8145203113
"91",61664.6169171897,66332.5804418226,72768.3166704154,78350.5535557843,81156.5071808491
"92",59246.1821175915,64160.0647042314,70986.0592960934,76911.3331747791,79900.3383726059
"93",56788.352730405,61946.3427461218,69163.8697053159,75438.3504934545,78617.7608478216
"94",54284.2846423915,59680.4362134188,67287.8094380993,73916.8086853935,77293.3287166385
"95",51737.427478182,57364.1443526731,65358.0032025788,72346.1803124757,75926.6497651609
"96",48925.7304446148,54786.9667036053,63046.081510119,70333.3395250005,74266.4843222137
"97",45784.2991717966,51876.3208985223,60406.5416713479,68015.6387836446,72342.0890740747
"98",42397.5737406832,48698.4764150794,57487.8375023502,65427.1540610974,70176.0114630845
"99",38851.588764797,45322.6038921334,54341.7483659744,62604.9609275646,67793.1254758699
"100",35230.4199596308,41818.3067955639,51021.8638231143,59588.2553251337,65220.1576728675
"101",31613.0046252804,38253.2947461304,47582.0866775515,56417.4552137294,62485.1906946198
"102",28070.4938587358,34691.3035072978,44075.2118264866,53133.3115927379,59617.1570696348
"103",24664.2439750075,31190.3449137814,40551.631601992,49776.0557762106,56645.3359651198
"104",21444.5004604509,27801.3445268217,37058.2093475321,46384.6071521655,53598.8649374027
"105",18449.7749218769,24567.1976936398,33637.3524768895,42995.8621605181,50506.2777903944
"106",15706.8684078444,21522.2480795907,30326.304924968,39644.0810862968,47395.0783881576
"107",13231.4565938943,18692.1685126405,27156.667437661,36360.3847124044,44291.3587519613
"108",11029.1257814944,16094.2036345158,24154.1432294966,33172.3681434354,41219.4680707242
"109",9096.7342444972,13737.7184245505,21338.4967400607,30103.8344264529,38201.7374378845
"110",7423.97069020819,11624.9866752432,18723.7049968095,27174.64616489,35258.2632693834
"111",5994.98897440016,9752.14898239538,16318.2747529071,24400.6893276764,32406.7505258098
"112",4790.01348762842,8110.27036139803,14125.6942737201,21793.9400405846,29662.4151204756
